siteID,project
NZPSMBCDC1,nzpBanding
NZPBIRDDC1,nzpBanding
THERLARMA1,amro
DUMBOPKDC1,amro
FREYFREMD1,amro
GRIFRACMA1,amro
HIGGBETMA1,amro
LERMSUSMA2,amro
MARRPETMD2,amro
WARRPAIMA1,amro
DOPPJANMA1,amro
SILLSCOMD1,grca
SLIGOPKMD1,grca
SMITHCADC1,grca
SPRINPKMD1,grca
STEPJANMA1,grca
TANGLAUDC1,grca
WAPLEESVA1,grca
WARRPAIMA1,grca
BANDKENVA1,grca
BIKEPARCO1,grca
BROOKSIMD1,grca
CANNANNMA1,grca
CLYDEPKGA1,grca
DELUBILMA1,grca
DOYLPHIMA1,grca
DUMBOPKDC1,grca
GRIFRACMA1,grca
GRIFROGMD1,grca
LAFOMELVA1,grca
LORYSPKCO1,grca
MARRPETMD2,grca
NZPBIRDDC1,grca
OPALDPKMD1,grca
PANJARVCO1,grca
PINERIDCO1,grca
RUSHSTEGA1,grca
DOPPJANMA1,grca
WHEATPKMD1,grca
SIZOOPKDC1,grca
TATEJUAMD1,grca
JACOSYDMD1,grca
NZPSMBCDC1,grca
