siteID,date,time,enc,spp,bandNumber,colorCombo,mass,wing,tl,age,sex
dc_61,2012-04-18,0930,B,NOCA,791-17230,"YY,X",39.6,95.5,97,AHY,F
dc_38,2012-05-04,0001,B,GRCA,791-17233,"WX,B",38.8,91,99999,AHY,M
dc_38,2012-05-04,0001,B,SOSP,2441-96447,"Y,XG",22.4,70,99999,AHY,M
dc_38,2012-05-04,0001,B,SOSP,2441-96448,"OB,X",20.6,64,99999,AHY,M
dc_69,2012-05-10,0001,B,GRCA,791-17238,"OB,X",37.7,91,99999,AHY,M
dc_69,2012-05-10,0001,B,GRCA,791-17239,"R,XR",43.3,89,99999,AHY,F
dc_69,2012-05-10,0001,B,SOSP,2441-96450,"YX,Y",19.4,67,99999,AHY,M
dc_69,2012-05-10,0001,B,SOSP,2441-96451,"WX,O",22,70,99999,AHY,M
dc_6,2012-05-12,0001,B,GRCA,791-17246,"WX,B",36.9,91,99999,AHY,M
dc_6,2012-05-12,0001,B,GRCA,791-17247,"O,MX",41.2,90,99999,AHY,M
dc_6,2012-05-12,0001,B,GRCA,791-17248,"X,OR",37.5,88,99999,AHY,M
dc_1,2012-05-17,0001,B,NOCA,2421-11487,"GB,X",46.4,93,99999,AHY,M
dc_1,2012-05-17,0001,B,GRCA,2421-11488,"B,MX",33.6,93,99999,AHY,M
dc_1,2012-05-17,0001,B,NOCA,2421-11486,"XB,R",43.4,91,99999,AHY,F
dc_12,2012-05-18,0001,B,GRCA,2421-11489,"XO,Y",35.2,87,99999,AHY,M
dc_12,2012-05-18,0001,B,GRCA,2421-11491,"G,XM",43.7,86,99999,AHY,F
dc_12,2012-05-18,0001,B,NOCA,2421-11492,"X,YR",41.1,89,99999,AHY,F
dc_12,2012-05-18,0001,B,SOSP,2341-29390,"X,M",21.4,63,99999,AHY,F
dc_12,2012-05-18,0001,B,NOCA,2421-11490,"KX,G",42.1,93,99999,AHY,M
dc_11,2012-05-19,0001,B,NOCA,2421-11493,"XO,G",40.6,86,99999,AHY,F
