ch,siteID,spp,mass,age,sex,region,imp
110000,gainesville_7,NOCA,40.9,AHY,M,gainesville,0.7958479053191159
100000,gainesville_16,NOCA,39.5,AHY,M,gainesville,5.430918660450353
100000,gainesville_9,NOCA,43.5,AHY,M,gainesville,9.388789752799259
100000,springfield_5,GRCA,37,SY,F,springfield,32.15828967832283
111000,springfield_5,NOCA,43.3,AHY,M,springfield,32.15828967832283
100000,springfield_10,GRCA,37,AHY,M,springfield,14.500665574795955
100000,springfield_10,GRCA,39,AHY,F,springfield,14.500665574795955
100000,springfield_10,NOCA,40,AHY,M,springfield,14.500665574795955
100000,springfield_1,GRCA,34,AHY,M,springfield,20.482756955956077
110000,springfield_2,NOCA,43,AHY,M,springfield,1.6942343257013301
100000,springfield_23,GRCA,41,AHY,M,springfield,17.237152271856925
100000,springfield_22,GRCA,38,AHY,M,springfield,11.079416317550178
101000,springfield_7,GRCA,39,AHY,F,springfield,1.508553522658506
110000,springfield_3,NOCA,40,AHY,F,springfield,0.375814481843519
010000,springfield_13,NOCA,45.62,AHY,M,springfield,12.29755125375105
011000,springfield_19,NOCA,46.29,ASY,F,springfield,3.22373625711839
010111,springfield_19,NOCA,43.32,ASY,M,springfield,3.22373625711839
011000,springfield_19,GRCA,37.09,ASY,M,springfield,3.22373625711839
010010,springfield_23,GRCA,34.47,ASY,M,springfield,17.237152271856925
010000,springfield_12,NOCA,41.99,ASY,F,springfield,3.376241554526579
010000,springfield_12,GRCA,32.85,ASY,M,springfield,3.376241554526579
011010,springfield_8,GRCA,99999,SY,F,springfield,3.5115616366750673
010000,springfield_8,GRCA,36.21,SY,M,springfield,3.5115616366750673
011111,springfield_8,NOCA,41.63,ASY,M,springfield,3.5115616366750673
100000,gainesville_17,NOCA,34,AHY,F,gainesville,25.425288630790856
100000,gainesville_17,NOCA,42.3,AHY,F,gainesville,25.425288630790856
100000,gainesville_17,NOCA,30.8,AHY,M,gainesville,25.425288630790856
100000,gainesville_17,NOCA,39.5,AHY,M,gainesville,25.425288630790856
