date,bandNumber,type
2012-01-23,2531-91135,P
2012-01-31,1991-18070,T
2012-01-31,1991-18072,T
2012-01-31,1991-18075,T
2012-01-31,1991-18078,T
2012-02-25,2531-91135,P
2012-07-03,1991-18078,P
2012-07-12,1991-18077,P
2012-07-12,1991-18080,P
2012-07-13,1991-18077,P
2012-07-13,1991-18078,P
2012-07-14,1991-18080,P
2012-07-17,1991-18078,P
2012-07-19,1991-18077,P
2012-07-24,1991-18078,P
2012-07-31,1991-18025,T
2012-07-31,1991-18077,P
2012-07-31,1991-18077,T
2012-07-31,1991-18078,T
2012-07-31,1991-18080,T
2012-07-31,1991-18081,T
2012-08-01,1991-18078,P
2012-08-02,2531-91136,P
2012-08-03,1991-18078,P
2012-08-04,1991-18078,P
2012-08-04,2531-91135,P
2012-08-05,1991-18078,P
2012-08-26,1991-18078,P
2012-08-26,1991-18080,P
2012-08-26,1991-18081,P
2012-08-27,1991-18077,P
2012-08-28,1991-18077,P
2012-08-31,1991-18030,T
2012-09-30,1991-18029,T
2012-09-30,1991-18030,T
2012-10-11,2531-91136,P
2012-10-15,1891-11011,P
2012-10-31,1991-18075,T
2012-10-31,1991-18078,T
2012-10-31,1991-18080,T
2012-10-31,2331-09115,T
2012-11-03,2331-09115,P
2012-11-16,1991-18078,P
2012-11-16,1991-18080,P
2012-11-19,2331-09115,P
2012-11-30,1991-18068,T
2012-11-30,1991-18071,T
2012-11-30,1991-18075,T
2012-11-30,1991-18076,T
2012-11-30,1991-18077,T
2012-11-30,1991-18078,T
2012-11-30,1991-18080,T
2012-12-10,1991-18077,P
2012-12-12,1991-18078,P
2012-12-12,1991-18080,P
2012-12-22,1891-11021,P
2012-12-26,2531-91135,P
2012-12-31,1991-18070,T
2012-12-31,1991-18072,T
2012-12-31,1991-18075,T
2012-12-31,1991-18077,T
2012-12-31,1991-18078,T
2012-12-31,1991-18080,T
2012-12-31,2331-09115,T
2013-01-03,1891-11011,P
2013-01-03,2531-91185,P
2013-01-04,1991-18078,P
2013-01-04,2331-09115,P
2013-01-10,1991-18078,P
2013-01-17,1891-11021,P
2013-01-17,1991-18077,P
2013-01-17,1991-18078,P
2013-01-20,2561-86618,P
2013-01-21,1991-18077,P
2013-01-28,1991-18078,P
2013-01-28,1991-18080,P
2013-01-28,2561-86618,P
2013-01-31,1991-18077,T
2013-01-31,1991-18078,T
2013-01-31,1991-18080,P
2013-01-31,2331-09148,T
2013-02-11,1991-18078,P
2013-02-13,1891-11021,P
2013-02-21,2561-86608,P
2013-02-24,1991-18078,P
2013-02-28,1991-18078,T
2013-02-28,2331-09148,T
2013-03-01,1891-11034,P
2013-03-14,2561-86608,P
2013-03-15,2421-34632,T
2013-03-17,1891-11021,P
2013-03-31,1991-18070,T
2013-03-31,1991-18072,T
2013-03-31,1991-18075,T
2013-03-31,1991-18078,T
2013-04-08,1891-11011,P
2013-04-16,1991-18078,P
2013-04-17,1991-18078,P
2013-04-27,1891-11021,P
2013-04-30,1991-18070,T
2013-04-30,1991-18075,T
2013-04-30,1991-18077,T
2013-04-30,1991-18078,T
2013-05-10,1991-18077,P
2013-05-10,1991-18078,P
2013-05-14,1891-11021,P
2013-05-17,1991-18077,P
2013-05-17,1991-18078,P
2013-05-22,1891-11011,P
2013-05-31,1292-71301,T
2013-06-04,2421-34609,P
2013-06-04,2421-34610,P
2013-06-06,2371-04311,P
2013-06-06,2561-86612,P
2013-06-13,2571-90205,P
2013-06-22,2441-96451,T
2013-06-29,2441-96470,T
2013-06-30,1991-18078,T
2013-06-30,2331-09148,T
2013-07-01,1891-11046,P
2013-07-04,2531-91109,P
2013-07-05,2561-86612,P
2013-07-07,2531-91199,P
2013-07-08,2421-34679,P
2013-07-09,791-17257,T
2013-07-18,2421-34662,T
2013-07-19,791-17258,T
2013-07-22,1991-18070,P
2013-07-23,791-17275,T
2013-07-26,2331-09151,P
2013-07-26,2371-04311,P
2013-07-26,2421-34612,T
2013-07-28,1891-11048,P
2013-08-01,2371-04311,P
2013-08-02,2421-34693,T
2013-08-19,2561-86608,P
2013-08-31,1991-18077,T
2013-08-31,2331-09148,T
2013-09-01,1891-11011,P
2013-09-14,2331-09151,P
2013-09-19,2531-91135,P
2013-09-25,1991-18070,P
2013-09-30,1991-18078,T
2013-09-30,2331-09148,T
2013-10-03,2561-86608,P
2013-10-04,2531-91199,P
2013-10-07,2531-91109,P
2013-10-31,1991-18078,T
2013-10-31,2331-09148,T
2013-11-02,2331-09151,P
2013-11-16,1891-11046,P
2013-11-19,2561-86608,P
2013-11-30,1991-18077,T
2013-11-30,1991-18078,T
2013-11-30,2331-09148,T
2013-12-03,1991-18071,P
2013-12-15,2561-86618,P
2013-12-17,2561-86608,P
2013-12-23,2331-09151,P
